video_id,clip_max_similarity,clip_mean_similarity,clickbait_label
lepHJI4ze-w,0.28734099864959717,0.22212155163288116,1
ezwXAlJ5pAY,0.2346726953983307,0.21021786332130432,1
i6_OomloWUg,0.26113197207450867,0.23317304253578186,1
VvuuR7HifUY,0.2480471134185791,0.1910044550895691,1
uwIjrEbywnk,0.31796902418136597,0.2425488829612732,1
RLkdkdQI-ZU,0.18059438467025757,0.17663563787937164,1
7g9xcCMdwns,0.27785298228263855,0.24220667779445648,1
rSXyLqvlUA0,0.2679883539676666,0.21691809594631195,1
yjex6KjvJ4M,0.2966102957725525,0.25566554069519043,1
XGPex66EyTU,0.2850981652736664,0.21292421221733093,1
Ls5yMv96vXo,0.2525688409805298,0.20520000159740448,1
6E7nxP3iD4c,0.2885913848876953,0.2172257900238037,1
IGS04NYSG0c,0.24918141961097717,0.19483891129493713,1
fAbrKxrq9pw,0.26430007815361023,0.20986410975456238,1
dqYOg04QwfI,0.30494847893714905,0.22348840534687042,1
SToocHIhCN4,0.3076939284801483,0.23951789736747742,1
t5mjLoStmFU,0.3020690083503723,0.21586474776268005,1
kKj0yzRyOpg,0.2930884063243866,0.21829351782798767,1
aVkG59wJKec,0.18844780325889587,0.18079373240470886,1
mHddP1CDTQ0,0.22404512763023376,0.21610064804553986,1
iV1kP5ERQvE,0.273252934217453,0.23148366808891296,1
h2pe4zpWXT4,0.29969316720962524,0.2375640571117401,1
Y4id5tlTYsY,0.2975270748138428,0.19724802672863007,1
Lra2N5CsyDA,0.2975218892097473,0.2443324774503708,1
7Tuhg0tyzT4,0.3288015127182007,0.25437870621681213,1
-V1Z5tJzktY,0.33102256059646606,0.22991834580898285,1
eVvjsXjeiB4,0.2857966721057892,0.21446974575519562,1
4KjapCzpWQg,0.2626895308494568,0.19432185590267181,1
Q19ddpjmbwY,0.24350899457931519,0.15514475107192993,1
81v7fgp3Two,0.2530371844768524,0.20718739926815033,1
rah4QI41Lgg,0.2870362401008606,0.20398801565170288,1
efXOrthfd2U,0.2658933699131012,0.19445252418518066,1
kNZpnFo20Sk,0.287835955619812,0.23969236016273499,1
MVjD3CVlRDs,0.23686252534389496,0.22599737346172333,1
SH8SDdxstco,0.27753186225891113,0.22379082441329956,1
HXDLxqSh52M,0.2398153394460678,0.18900133669376373,1
uKpEcfPjy1I,0.258068710565567,0.22572751343250275,1
-zAUGYmJaEI,0.266741544008255,0.23054249584674835,1
swadfg2DtYo,0.27334296703338623,0.22086863219738007,1
n32O01tUyvo,0.3075016736984253,0.2614915668964386,1
qUL0EyCRAgM,0.2695947289466858,0.2171504646539688,1
dik8ItxhfgE,0.2621046304702759,0.20929107069969177,1
KWGE8_7Cj7Q,0.27649444341659546,0.21830391883850098,1
OX5d5IaoDn4,0.27402687072753906,0.22924374043941498,1
buvIEPekwoc,0.26584672927856445,0.23360343277454376,1
WFIKtJ3nXyQ,0.214426651597023,0.19627664983272552,1
EWzj9rErGQI,0.2772676646709442,0.19947971403598785,1
jPvt-ap8Jbc,0.284037709236145,0.16941241919994354,1
WA0BqYkg21w,0.28125080466270447,0.28125080466270447,1
DtYACSW-QHA,0.2583965063095093,0.2354695051908493,1
mpedtsJBHgw,0.35015609860420227,0.25148454308509827,1
FmRdmBKmJd4,0.27949079871177673,0.21880783140659332,1
jUpknoy-DKc,0.23414522409439087,0.19140595197677612,1
6ujHuYFkaHY,0.23401768505573273,0.2162502110004425,1
EMOz-wmMG-4,0.30299174785614014,0.23632514476776123,1
MnGCjmcUp6c,0.2306099683046341,0.18267175555229187,1
75QGZqOZxfg,0.2630600929260254,0.18884043395519257,1
EO4FPY0TtXw,0.2438601851463318,0.17581039667129517,1
fsWXfXrLG6w,0.27889877557754517,0.20322827994823456,1
fDANmSPL4Js,0.3376026749610901,0.24695275723934174,1
2Juw9LKRMNo,0.25380194187164307,0.19943270087242126,1
r1ExfbrDaXk,0.30452799797058105,0.23016728460788727,1
_z8RDEOeSl4,0.280292272567749,0.1866818517446518,1
-z45Vd9slWw,0.2736271321773529,0.22838462889194489,1
gMwFf1euJ0E,0.27763649821281433,0.19746387004852295,1
6IL555Cfvug,0.29343366622924805,0.2140771448612213,1
x4fF7lMFdiQ,0.34198805689811707,0.24106785655021667,1
X-88Rn8JRHs,0.23168881237506866,0.21301153302192688,1
eiKNcRAyAEE,0.3346158266067505,0.23299521207809448,1
DJxP_R_6d4E,0.1544705480337143,0.1544705480337143,1
UYFXDUGsZmk,0.26279011368751526,0.1974274218082428,1
lWE0fXAVFXM,0.20264461636543274,0.19134436547756195,1
ssu3MJkD5tk,0.1979655772447586,0.1843862235546112,1
